"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Â ","","",""
"Breece Hall","NYJ","18.2","81.2","0.5","4.3","33.8","0.2","0.1","15.7"
"Bijan Robinson","ATL","16.2","73.9","0.5","4.6","36.0","0.2","0.1","14.8"
"Saquon Barkley","PHI","18.6","79.7","0.6","2.8","22.4","0.1","0.1","14.5"
"Kyren Williams","LAR","18.0","79.9","0.7","2.4","18.6","0.1","0.1","14.3"
"Jordan Mason","SF","19.6","84.4","0.7","2.1","14.3","0.1","0.1","14.2"
"Jonathan Taylor","IND","20.0","85.2","0.6","2.0","14.2","0.1","0.1","13.8"
"Derrick Henry","BAL","18.1","77.1","0.7","1.5","11.4","0.1","0.1","13.2"
"Joe Mixon","HOU","18.6","74.4","0.5","2.6","19.4","0.1","0.1","13.1"
"De'Von Achane","MIA","11.6","56.7","0.5","4.1","32.7","0.2","0.1","13.0"
"Jahmyr Gibbs","DET","11.4","55.6","0.5","3.8","28.3","0.2","0.1","12.6"
"Josh Jacobs","GB","16.5","71.8","0.5","2.7","19.0","0.1","0.1","12.2"
"James Conner","ARI","15.4","67.9","0.5","2.6","17.6","0.1","0.1","12.0"
"Rhamondre Stevenson","NE","16.5","67.5","0.4","2.9","20.2","0.1","0.1","11.6"
"Zach Charbonnet","SEA","16.3","67.5","0.4","2.4","17.6","0.1","0.1","11.5"
"James Cook","BUF","14.7","66.9","0.3","2.9","22.3","0.1","0.1","11.3"
"Alvin Kamara","NO","14.0","54.3","0.3","4.2","30.2","0.2","0.1","11.1"
"Travis Etienne Jr.","JAC","15.1","61.1","0.4","3.0","22.2","0.1","0.1","11.1"
"David Montgomery","DET","14.5","61.6","0.6","1.2","9.0","0.1","0.1","11.0"
"Najee Harris","PIT","16.6","67.8","0.5","1.4","9.8","0.1","0.1","10.9"
"Rachaad White","TB","13.9","51.6","0.3","3.6","28.2","0.2","0.1","10.7"
"Jerome Ford","CLE","15.6","59.5","0.4","2.8","20.2","0.1","0.1","10.7"
"Aaron Jones","MIN","13.1","58.0","0.4","2.8","19.8","0.1","0.1","10.5"
"J.K. Dobbins","LAC","13.7","59.5","0.4","2.1","15.7","0.1","0.1","10.3"
"Brian Robinson Jr.","WAS","15.0","60.9","0.4","2.0","15.1","0.1","0.1","10.1"
"Tony Pollard","TEN","13.9","59.0","0.4","2.2","16.4","0.1","0.1","10.0"
"Devin Singletary","NYG","13.4","57.9","0.4","2.4","16.1","0.1","0.1","9.9"
"Zack Moss","CIN","13.1","52.6","0.4","2.1","15.5","0.1","0.0","9.6"
"D'Andre Swift","CHI","13.0","54.5","0.3","2.5","17.1","0.1","0.1","9.4"
"Ezekiel Elliott","DAL","12.1","45.3","0.4","2.1","14.1","0.1","0.1","8.6"
"Zamir White","LV","14.7","55.0","0.3","1.5","9.6","0.0","0.1","8.5"
"Javonte Williams","DEN","11.4","46.0","0.2","2.3","14.9","0.1","0.1","8.0"
"Chuba Hubbard","CAR","13.0","47.5","0.3","1.8","13.1","0.0","0.1","8.0"
"Gus Edwards","LAC","11.2","46.1","0.3","1.1","7.4","0.0","0.1","7.4"
"Jaleel McLaughlin","DEN","9.2","36.5","0.2","2.7","18.8","0.1","0.1","7.0"
"Rico Dowdle","DAL","9.9","39.0","0.2","1.4","11.0","0.1","0.0","6.8"
"Tyjae Spears","TEN","7.4","29.8","0.2","2.5","18.7","0.1","0.0","6.4"
"Jaylen Warren","PIT","6.3","29.8","0.2","2.5","17.7","0.1","0.1","6.2"
"Jeff Wilson Jr.","MIA","7.8","32.8","0.3","1.0","9.1","0.0","0.0","5.8"
"Alexander Mattison","LV","7.2","27.8","0.1","2.3","16.5","0.1","0.1","5.7"
"Chase Brown","CIN","7.0","25.9","0.2","2.3","17.1","0.1","0.0","5.6"
"Miles Sanders","CAR","8.9","35.6","0.2","1.2","8.6","0.0","0.1","5.5"
"Ty Chandler","MIN","7.2","28.5","0.2","1.7","11.6","0.1","0.0","5.5"
"Antonio Gibson","NE","7.3","26.8","0.2","1.8","13.2","0.1","0.1","5.3"
"Bucky Irving","TB","7.2","29.3","0.1","1.5","10.8","0.0","0.1","5.0"
"Tank Bigsby","JAC","8.2","31.5","0.2","0.8","4.9","0.0","0.0","4.8"
"Jamaal Williams","NO","6.9","26.1","0.2","1.2","7.0","0.0","0.0","4.5"
"Tyler Allgeier","ATL","6.5","25.9","0.2","0.9","6.6","0.0","0.0","4.4"
"Justice Hill","BAL","3.8","13.8","0.1","2.2","16.4","0.1","0.0","4.2"
"Braelon Allen","NYJ","6.5","24.1","0.2","0.7","4.6","0.0","0.0","4.0"
"Khalil Herbert","CHI","6.8","24.5","0.1","0.7","5.3","0.0","0.0","3.7"
"Kenny McIntosh","SEA","4.5","19.1","0.1","0.9","6.5","0.0","0.0","3.6"
"Trey Benson","ARI","4.9","19.7","0.1","0.9","6.5","0.0","0.0","3.5"
"Samaje Perine","KC","3.1","11.8","0.1","1.7","13.9","0.1","0.0","3.5"
"Jaylen Wright","MIA","4.4","18.7","0.1","0.8","5.4","0.0","0.0","3.5"
"Pierre Strong Jr.","CLE","5.2","16.5","0.1","1.3","9.2","0.0","0.0","3.4"
"Tyrone Tracy Jr.","NYG","3.9","15.0","0.1","1.1","7.5","0.1","0.0","3.1"
"Ray Davis","BUF","3.1","14.4","0.1","0.7","5.5","0.0","0.0","2.7"
"Emanuel Wilson","GB","3.0","12.7","0.1","0.6","4.3","0.0","0.0","2.4"
"Dameon Pierce","HOU","4.2","15.9","0.1","0.3","1.7","0.0","0.0","2.4"
"Ronnie Rivers","LAR","3.6","12.9","0.1","0.4","2.8","0.0","0.0","2.2"
"Kenneth Gainwell","PHI","2.2","10.0","0.1","0.8","6.0","0.0","0.0","2.2"
"Ty Johnson","BUF","2.0","7.3","0.0","1.0","8.3","0.1","0.0","2.2"
"Cordarrelle Patterson","PIT","2.1","9.3","0.1","0.7","5.0","0.0","0.0","2.0"
"Eric Gray","NYG","2.1","10.3","0.1","0.5","3.7","0.0","0.0","2.0"
"Isaac Guerendo","SF","2.2","9.6","0.1","0.4","3.0","0.0","0.0","1.8"
"D'Onta Foreman","CLE","1.0","10.9","0.1","0.3","2.6","0.0","0.0","1.8"
"Emari Demercado","ARI","1.1","5.1","0.0","1.1","7.4","0.0","0.0","1.7"
"Kyle Juszczyk","SF","0.6","2.4","0.0","1.0","8.0","0.1","0.0","1.5"
"Trey Sermon","IND","1.5","6.5","0.0","0.4","3.1","0.0","0.0","1.3"
"Carson Steele","KC","1.8","7.0","0.0","0.2","1.2","0.0","0.0","1.1"
"Blake Corum","LAR","1.3","5.6","0.0","0.3","2.1","0.0","0.0","1.1"
"Velus Jones Jr.","CHI","1.4","6.2","0.0","0.3","2.0","0.0","0.0","1.1"
"Dare Ogunbowale","HOU","0.9","4.0","0.0","0.6","4.3","0.0","0.0","1.0"
"Travis Homer","CHI","1.3","4.9","0.0","0.4","3.1","0.0","0.0","1.0"
"Cam Akers","HOU","1.4","4.7","0.0","0.2","1.8","0.0","0.0","0.9"
"Deuce Vaughn","DAL","0.6","3.4","0.0","0.3","2.4","0.0","0.0","0.8"
"Alec Ingold","MIA","0.3","1.1","0.0","0.6","4.3","0.0","0.0","0.7"
"Hunter Luepke","DAL","0.3","1.1","0.0","0.5","3.1","0.0","0.0","0.6"
"Will Shipley","PHI","0.3","2.8","0.0","0.2","1.5","0.0","0.0","0.6"
"Jordan Mims","NO","0.1","3.9","0.0","0.2","1.3","0.0","0.0","0.6"
"Isaiah Davis","NYJ","0.0","3.3","0.0","0.1","0.6","0.0","0.0","0.6"
"C.J. Ham","MIN","0.2","0.7","0.0","0.5","3.4","0.0","0.0","0.5"
"D'Ernest Johnson","JAC","0.1","3.1","0.0","0.1","0.7","0.0","0.0","0.4"
"Adam Prentice","NO","0.2","0.9","0.0","0.3","1.8","0.0","0.0","0.4"
"Roschon Johnson","CHI","0.5","2.1","0.0","0.1","0.8","0.0","0.0","0.4"
"Michael Burton","DEN","0.1","0.5","0.0","0.2","1.6","0.0","0.0","0.3"
"Craig Reynolds","DET","0.1","1.1","0.0","0.1","0.9","0.0","0.0","0.3"
"Patrick Taylor Jr.","SF","0.3","1.1","0.0","0.1","0.8","0.0","0.0","0.2"
"DeeJay Dallas","ARI","0.0","1.3","0.0","0.1","1.0","0.0","0.0","0.2"
"Sione Vaki","DET","0.0","2.1","0.0","0.0","0.0","0.0","0.0","0.2"
"Patrick Ricard","BAL","0.1","0.3","0.0","0.2","1.2","0.0","0.0","0.2"
"Ameer Abdullah","LV","0.1","0.9","0.0","0.1","0.9","0.0","0.0","0.2"
"Sean Tucker","TB","0.1","0.8","0.0","0.1","0.7","0.0","0.0","0.2"
"Hassan Haskins","LAC","0.0","1.3","0.0","0.1","0.4","0.0","0.0","0.2"
"Raheem Blackshear","CAR","0.0","0.6","0.0","0.1","0.8","0.0","0.0","0.1"
"JaMycal Hasty","NE","0.1","0.7","0.0","0.1","0.6","0.0","0.0","0.1"
"Dalvin Cook","DAL","0.1","0.3","0.0","0.1","0.4","0.0","0.0","0.1"
"Avery Williams","ATL","0.1","0.3","0.0","0.1","0.4","0.0","0.0","0.1"
"Myles Gaskin","MIN","0.1","0.2","0.0","0.1","0.4","0.0","0.0","0.1"
"Cody Schrader","LAR","0.0","0.7","0.0","0.1","0.1","0.0","0.0","0.1"
"Kenneth Walker III","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Raheem Mostert","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Keaton Mitchell","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Goodson","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trayveon Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jeremy McNichols","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Julius Chestnut","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kimani Vidal","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jase McClellan","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Israel Abanikanda","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Scott Matlock","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Blake Watson","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"British Brooks","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Khari Blasingame","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Gilliam","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Kelly Jr.","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Bellore","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike Boone","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kareem Hunt","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Royce Freeman","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Andrew Beck","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jakob Johnson","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Vaughn","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"J.J. Taylor","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Ward","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Carter","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Javian Hawkins","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jermar Jefferson","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gary Brightwell","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaret Patterson","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyrion Davis-Price","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kevin Harris","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Badie","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brittain Brown","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malik Davis","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Troy Hairston II","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Evan Hull","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Rodriguez Jr.","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deneric Prince","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Brooks","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ellis Merriweather","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Louis Rees-Zammit","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dante Miller","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Michael Wiley","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""