"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Saquon Barkley (PHI)","1","24","109","4.5","78","3.3","31","1.3","0","4","-11","11","3","1","1","0","0","34","2","2","1","0"
"2","Joe Mixon (HOU)","1","30","159","5.3","103","3.4","56","1.9","2","1","-2","3","4","0","0","0","0","13","3","3","0","7"
"3","Jordan Mason (SF)","1","28","147","5.3","79","2.8","68","2.4","1","1","-2","5","5","1","0","0","0","24","1","1","0","0"
"4","J.K. Dobbins (LAC)","1","10","135","13.5","64","6.4","71","7.1","4","0","0","12","3","2","2","2","1","61","3","3","0","0"
"5","Rhamondre Stevenson (NE)","1","25","120","4.8","45","1.8","75","3.0","2","3","-5","3","4","0","0","0","0","17","3","3","0","0"
"6","Alvin Kamara (NO)","1","15","83","5.5","63","4.2","20","1.3","0","1","-5","1","3","0","0","0","0","17","5","5","0","19"
"7","Kenneth Walker III (SEA)","1","20","103","5.2","52","2.6","51","2.6","2","3","-11","23","3","1","0","0","0","23","2","3","2","5"
"8","Aaron Jones (MIN)","1","14","94","6.7","53","3.8","41","2.9","1","1","-1","3","5","0","0","0","0","19","2","2","0","1"
"9","James Conner (ARI)","1","16","50","3.1","27","1.7","23","1.4","0","1","-3","3","1","1","0","0","0","20","3","4","0","18"
"10","De'Von Achane (MIA)","1","10","24","2.4","22","2.2","2","0.2","0","3","-5","1","0","0","0","0","0","9","7","7","2","16"
"11","Tony Pollard (TEN)","1","16","82","5.1","43","2.7","39","2.4","3","2","-2","26","3","1","0","0","0","26","3","4","0","3"
"12","David Montgomery (DET)","1","17","91","5.4","45","2.6","46","2.7","2","1","-1","1","1","1","0","0","0","21","1","1","0","0"
"13","Brian Robinson Jr. (WAS)","1","12","40","3.3","20","1.7","20","1.7","0","1","-1","7","0","0","0","0","0","7","3","4","0","33"
"14","Isiah Pacheco (KC)","1","15","45","3.0","17","1.1","28","1.9","0","0","0","1","0","0","0","0","0","5","2","3","0","6"
"15","Jahmyr Gibbs (DET)","1","11","40","3.6","21","1.9","19","1.7","1","0","0","1","0","0","0","0","0","8","4","6","1","8"
"16","Breece Hall (NYJ)","1","16","54","3.4","19","1.2","35","2.2","1","0","0","3","1","0","0","0","0","16","5","6","0","14"
"17","Jerome Ford (CLE)","1","12","44","3.7","20","1.7","24","2.0","1","1","-2","2","1","0","0","0","0","11","6","7","0","5"
"18","Alexander Mattison (LV)","1","5","19","3.8","6","1.2","13","2.6","0","0","0","0","0","0","0","0","0","7","4","6","0","34"
"19","Zack Moss (CIN)","1","9","44","4.9","27","3.0","17","1.9","0","0","0","5","1","0","0","0","0","16","2","4","0","0"
"20","Kyren Williams (LAR)","1","18","50","2.8","23","1.3","27","1.5","0","3","-5","2","0","0","0","0","0","9","3","3","0","4"
"21","Jamaal Williams (NO)","1","11","38","3.5","22","2.0","16","1.5","0","2","-4","14","1","0","0","0","0","14","1","1","0","3"
"22","Bijan Robinson (ATL)","1","18","68","3.8","18","1.0","50","2.8","4","1","-3","0","2","0","0","0","0","13","5","5","1","12"
"23","Ezekiel Elliott (DAL)","1","10","40","4.0","25","2.5","15","1.5","0","0","0","3","0","0","0","0","0","9","2","2","1","8"
"24","Jonathan Taylor (IND)","1","16","48","3.0","29","1.8","19","1.2","1","3","-6","5","0","0","0","0","0","7","0","0","0","0"
"25","Rachaad White (TB)","1","15","31","2.1","-2","-0.1","33","2.2","0","5","-14","0","1","0","0","0","0","15","6","6","1","26"
"26","Derrick Henry (BAL)","1","13","46","3.5","17","1.3","29","2.2","2","1","-1","5","0","0","0","0","0","9","0","2","0","0"
"27","Josh Jacobs (GB)","1","16","84","5.3","43","2.7","41","2.6","2","3","-3","0","2","2","1","0","0","32","2","3","0","8"
"28","James Cook (BUF)","1","19","71","3.7","40","2.1","31","1.6","1","3","-7","0","1","0","0","0","0","15","3","3","0","2"
"29","Zach Charbonnet (SEA)","1","8","12","1.5","3","0.4","9","1.1","0","2","-2","0","0","0","0","0","0","6","2","3","0","0"
"30","Travis Etienne Jr. (JAC)","1","12","44","3.7","31","2.6","13","1.1","0","2","-3","1","2","0","0","0","0","11","2","3","1","0"
"31","Najee Harris (PIT)","1","20","70","3.5","22","1.1","48","2.4","2","2","-4","0","1","1","0","0","0","20","1","2","0","4"
"32","Bucky Irving (TB)","1","9","62","6.9","51","5.7","11","1.2","0","2","-8","0","2","1","1","0","0","31","2","3","0","11"
"33","Tank Bigsby (JAC)","1","12","73","6.1","47","3.9","26","2.2","1","1","-1","0","2","1","0","0","0","26","0","0","0","0"
"34","Austin Ekeler (WAS)","1","2","10","5.0","4","2.0","6","3.0","0","0","0","0","0","0","0","0","0","6","4","4","0","27"
"35","DeeJay Dallas (ARI)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","Justice Hill (BAL)","1","1","3","3.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","3","6","8","2","17"
"37","Devin Singletary (NYG)","1","10","37","3.7","17","1.7","20","2.0","0","0","0","0","0","0","0","0","0","7","4","5","0","7"
"38","D'Andre Swift (CHI)","1","10","30","3.0","17","1.7","13","1.3","0","4","-12","0","1","1","0","0","0","20","0","1","0","0"
"39","Emanuel Wilson (GB)","1","4","46","11.5","28","7.0","18","4.5","1","0","0","0","2","0","0","0","0","18","2","3","1","0"
"40","Ty Chandler (MIN)","1","8","17","2.1","11","1.4","6","0.8","0","1","-3","0","0","0","0","0","0","6","3","3","1","3"
"41","Kyle Juszczyk (SF)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","3","0","4"
"42","Tyjae Spears (TEN)","1","4","21","5.3","10","2.5","11","2.8","0","0","0","0","1","0","0","0","0","11","4","4","0","3"
"43","Rico Dowdle (DAL)","1","8","26","3.3","13","1.6","13","1.6","0","2","-3","0","1","0","0","0","0","10","1","1","0","4"
"44","Pierre Strong Jr. (CLE)","1","2","10","5.0","6","3.0","4","2.0","0","0","0","0","0","0","0","0","0","6","2","3","0","15"
"45","Gus Edwards (LAC)","1","11","26","2.4","11","1.0","15","1.4","1","1","-1","0","1","0","0","0","0","10","1","1","0","1"
"46","Ray Davis (BUF)","1","3","13","4.3","5","1.7","8","2.7","0","0","0","0","1","0","0","0","0","13","1","1","0","4"
"47","Zamir White (LV)","1","13","44","3.4","19","1.5","25","1.9","2","1","-1","0","1","0","0","0","0","12","2","2","0","1"
"48","Emari Demercado (ARI)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","2","1","4"
"49","Jeff Wilson Jr. (MIA)","1","5","26","5.2","10","2.0","16","3.2","0","0","0","0","1","0","0","0","0","14","0","0","0","0"
"50","Chase Brown (CIN)","1","3","11","3.7","7","2.3","4","1.3","1","1","-1","0","0","0","0","0","0","8","3","3","0","1"
"51","Javonte Williams (DEN)","1","8","23","2.9","9","1.1","14","1.8","1","1","-1","0","0","0","0","0","0","9","1","2","1","0"
"52","Miles Sanders (CAR)","1","5","22","4.4","13","2.6","9","1.8","1","0","0","0","0","0","0","0","0","8","0","2","0","0"
"53","Tyler Allgeier (ATL)","1","3","21","7.0","10","3.3","11","3.7","0","0","0","0","1","0","0","0","0","13","0","0","0","0"
"54","Jaylen Warren (PIT)","1","2","7","3.5","2","1.0","5","2.5","0","1","-1","0","0","0","0","0","0","8","2","2","0","8"
"55","Raheem Mostert (MIA)","1","6","9","1.5","2","0.3","7","1.2","0","2","-4","0","0","0","0","0","0","6","2","3","0","5"
"56","Hunter Luepke (DAL)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","2","0","3"
"57","Antonio Gibson (NE)","1","7","18","2.6","10","1.4","8","1.1","1","0","0","0","0","0","0","0","0","8","0","0","0","0"
"58","Trey Benson (ARI)","1","3","13","4.3","6","2.0","7","2.3","0","0","0","0","0","0","0","0","0","6","1","1","0","1"
"59","Braelon Allen (NYJ)","1","1","8","8.0","3","3.0","5","5.0","0","0","0","0","0","0","0","0","0","8","1","1","0","9"
"60","Ronnie Rivers (LAR)","1","2","16","8.0","12","6.0","4","2.0","0","0","0","0","1","0","0","0","0","12","0","0","0","0"
"61","Dameon Pierce (HOU)","1","3","16","5.3","3","1.0","13","4.3","2","0","0","0","0","0","0","0","0","9","0","0","0","0"
"62","Eric Gray (NYG)","1","2","6","3.0","4","2.0","2","1.0","0","0","0","0","0","0","0","0","0","6","1","1","0","1"
"63","Chuba Hubbard (CAR)","1","6","14","2.3","8","1.3","6","1.0","0","1","-2","0","0","0","0","0","0","7","0","0","0","0"
"64","Audric Estime (DEN)","1","2","14","7.0","13","6.5","1","0.5","0","0","0","0","1","0","0","0","0","12","0","0","0","0"
"65","Cordarrelle Patterson (PIT)","1","4","13","3.3","3","0.8","10","2.5","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"66","Kenneth Gainwell (PHI)","1","1","2","2.0","0","0.0","2","2.0","0","0","0","0","0","0","0","0","0","2","1","1","0","10"
"67","Jordan Mims (NO)","1","4","11","2.8","7","1.8","4","1.0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"68","Samaje Perine (KC)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","2","0","6"
"69","Travis Homer (CHI)","1","2","10","5.0","8","4.0","2","1.0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"70","Jaleel McLaughlin (DEN)","1","10","27","2.7","15","1.5","12","1.2","1","2","-7","0","1","0","0","0","0","15","5","5","1","2"
"71","Alec Ingold (MIA)","1","2","8","4.0","1","0.5","7","3.5","0","0","0","0","0","0","0","0","0","6","0","1","0","0"
"72","Tyrone Tracy Jr. (NYG)","1","2","2","1.0","2","1.0","0","0.0","0","0","0","0","0","0","0","0","0","2","1","3","0","0"
"73","Ty Johnson (BUF)","1","2","7","3.5","4","2.0","3","1.5","0","0","0","0","0","0","0","0","0","6","0","1","0","0"
"74","Mike Boone (CAR)","1","4","7","1.8","2","0.5","5","1.3","1","0","0","0","0","0","0","0","0","5","0","0","0","0"
"75","Khalil Herbert (CHI)","1","2","4","2.0","1","0.5","3","1.5","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"76","Deuce Vaughn (DAL)","1","1","4","4.0","2","2.0","2","2.0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"77","Michael Burton (DEN)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"78","Dare Ogunbowale (HOU)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"79","Carson Steele (KC)","1","2","3","1.5","-2","-1.0","5","2.5","0","1","-2","0","0","0","0","0","0","5","0","0","0","0"
"80","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","Isaac Guerendo (SF)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","British Brooks (HOU)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","John Kelly Jr. (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Jakob Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Roschon Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","D'Ernest Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","Cam Akers (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Chris Brooks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","MarShawn Lloyd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","Hassan Haskins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","Tyler Badie (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Jaylen Wright (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","Tyler Goodson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","Chris Rodriguez Jr. (WAS)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","Sione Vaki (DET)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","Ameer Abdullah (LV)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","JaMycal Hasty (NE)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","Avery Williams (ATL)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","Adam Prentice (NO)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","Sean Tucker (TB)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","Trey Sermon (IND)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","Khari Blasingame (CHI)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","Kendre Miller (NO)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","Raheem Blackshear (CAR)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","Julius Chestnut (TEN)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Tyreik McAllister (LV)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","Patrick Ricard (BAL)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","Jeremy McNichols (WAS)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","Blake Corum (LAR)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","D'Onta Foreman (CLE)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","Will Shipley (PHI)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"115","Reggie Gilliam (BUF)","1","0","0","0.0","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","Myles Gaskin (MIN)","1","1","-3","-3.0","0","0.0","0","0.0","0","1","-3","0","0","0","0","0","0","0","0","0","0","0"
"117","C.J. Ham (MIN)","1","0","0","nan","0","0.0","0","0.0","0","0","0","0","0","0","0","0","0","0","2","2","0","0"
"118","Isaiah Davis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
""
""