"Rank","Player","G","ATT","YDS","YBCON","YACON","BRKTKL","TK LOSS","TK LOSS YDS","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","REC","TGT","RZ TGT","YACON"
"1","Saquon Barkley (PHI)","3","21","117","79","38","0","3","-7","3","1","1","0","0","3","4","1","3"
"2","Alvin Kamara (NO)","3","20","95","66","29","1","2","-4","3","0","0","0","0","3","4","0","7"
"3","Derrick Henry (BAL)","3","19","94","38","55","3","1","-3","2","1","0","0","0","1","1","0","9"
"4","James Cook (BUF)","3","14","63","26","36","1","1","-3","1","0","0","0","0","3","3","0","3"
"5","Kyren Williams (LAR)","3","18","55","31","24","0","3","-5","0","0","0","0","0","3","3","1","5"
"6","Jonathan Taylor (IND)","3","17","87","67","20","0","2","-5","3","1","0","0","0","1","2","0","10"
"7","David Montgomery (DET)","3","17","77","33","44","2","1","-2","1","0","0","0","0","3","3","0","4"
"8","Jordan Mason (SF)","3","22","108","62","46","0","2","-4","3","1","0","0","0","1","1","0","1"
"9","Zach Charbonnet (SEA)","3","13","47","18","29","1","1","-1","2","0","0","0","0","3","4","0","4"
"10","Breece Hall (NYJ)","3","15","57","19","38","1","2","-6","1","0","0","0","0","5","6","0","12"
"11","J.K. Dobbins (LAC)","3","14","103","41","62","2","1","-2","3","1","1","1","0","2","2","0","1"
"12","De'Von Achane (MIA)","3","14","50","32","18","1","3","-7","2","0","0","0","0","6","6","1","10"
"13","Aaron Jones (MIN)","3","14","76","36","40","0","1","-2","2","0","0","0","0","4","5","2","4"
"14","Jahmyr Gibbs (DET)","3","13","69","33","36","2","1","-3","2","1","0","0","0","4","4","2","3"
"15","Brian Robinson Jr. (WAS)","3","15","69","29","39","1","1","-2","2","1","1","0","0","2","3","1","11"
"16","James Conner (ARI)","3","15","63","29","34","1","2","-3","2","1","0","0","0","2","2","0","9"
"17","Bijan Robinson (ATL)","3","16","65","31","34","2","2","-4","2","0","0","0","0","4","4","0","8"
"18","Rhamondre Stevenson (NE)","3","17","75","30","45","1","2","-3","2","0","0","0","0","2","3","1","2"
"19","Devin Singletary (NYG)","3","14","66","24","42","1","1","-4","2","1","0","0","0","3","3","0","5"
"20","Zack Moss (CIN)","3","11","45","27","19","1","1","-1","1","0","0","0","0","3","4","0","6"
"21","Chuba Hubbard (CAR)","3","12","64","29","35","0","0","-1","2","0","0","0","0","3","3","1","8"
"22","Travis Etienne Jr. (JAC)","3","12","55","31","24","0","2","-4","2","1","0","0","0","3","4","1","2"
"23","Joe Mixon (HOU)","2","20","92","60","32","1","1","-2","3","0","0","0","0","3","4","0","8"
"24","Alexander Mattison (LV)","3","4","9","3","6","0","1","-1","0","0","0","0","0","2","3","0","13"
"25","Tony Pollard (TEN)","3","13","53","21","32","2","1","-1","2","0","0","0","0","4","5","1","5"
"26","Josh Jacobs (GB)","3","21","93","52","41","1","3","-5","2","1","1","0","0","1","1","0","4"
"27","Austin Ekeler (WAS)","3","4","28","19","9","0","0","0","1","0","0","0","0","3","3","0","11"
"28","Jerome Ford (CLE)","3","10","48","28","20","1","1","-1","2","0","0","0","0","3","4","0","6"
"29","Braelon Allen (NYJ)","3","6","32","10","22","0","0","0","1","0","0","0","0","2","3","0","6"
"30","Isiah Pacheco (KC)","2","17","68","41","27","0","0","0","1","0","0","0","0","4","4","1","5"
"31","Najee Harris (PIT)","3","18","70","30","40","1","2","-4","1","1","0","0","0","2","3","0","3"
"32","Emanuel Wilson (GB)","3","7","35","17","18","1","0","-2","1","0","0","0","0","1","2","0","9"
"33","Bucky Irving (TB)","3","8","51","29","22","1","1","-3","1","1","1","0","0","2","2","0","7"
"34","Kenneth Walker III (SEA)","1","20","103","52","51","2","3","-11","3","1","0","0","0","2","3","2","5"
"35","Rachaad White (TB)","3","10","22","4","18","0","2","-5","0","0","0","0","0","4","4","1","13"
"36","Antonio Gibson (NE)","3","8","48","20","27","1","1","-1","1","0","0","0","0","1","1","0","2"
"37","Ezekiel Elliott (DAL)","3","6","21","12","9","0","0","0","0","0","0","0","0","2","2","1","4"
"38","Jamaal Williams (NO)","3","7","25","14","11","0","1","-2","1","0","0","0","0","1","1","0","1"
"39","Rico Dowdle (DAL)","3","8","29","16","13","0","1","-1","0","0","0","0","0","3","4","0","6"
"40","Ty Johnson (BUF)","3","2","8","1","7","0","1","-1","0","0","0","0","0","1","2","1","1"
"41","Justice Hill (BAL)","3","3","19","10","10","1","0","0","1","0","0","0","0","3","4","1","8"
"42","Ray Davis (BUF)","3","6","21","10","11","0","1","-2","1","0","0","0","0","1","1","0","2"
"43","Ty Chandler (MIN)","3","8","37","29","8","0","1","-2","1","0","0","0","0","1","1","0","1"
"44","Miles Sanders (CAR)","3","6","20","11","9","0","1","-1","0","0","0","0","0","2","2","0","1"
"45","D'Andre Swift (CHI)","3","12","23","11","11","0","3","-11","0","0","0","0","0","2","3","0","2"
"46","Tyjae Spears (TEN)","3","4","16","7","9","0","0","0","0","0","0","0","0","3","3","0","16"
"47","Chase Brown (CIN)","3","5","35","20","15","1","0","0","2","0","0","0","0","2","2","0","1"
"48","Tyler Allgeier (ATL)","3","6","35","21","15","0","0","0","2","0","0","0","0","0","0","0","1"
"49","Javonte Williams (DEN)","3","8","17","5","12","1","1","-3","0","0","0","0","0","3","4","1","6"
"50","Cam Akers (HOU)","2","8","27","12","15","1","2","-3","1","0","0","0","0","1","2","1","2"
"51","Zamir White (LV)","3","11","34","19","15","1","0","0","0","0","0","0","0","2","2","0","5"
"52","Gus Edwards (LAC)","3","11","31","11","21","0","0","0","0","0","0","0","0","0","0","0","0"
"53","Tyler Badie (DEN)","2","5","43","11","32","1","1","-2","1","1","1","1","0","1","1","1","0"
"54","Jaleel McLaughlin (DEN)","3","6","13","5","9","1","1","-5","0","0","0","0","0","2","2","0","1"
"55","Trey Sermon (IND)","3","1","5","3","2","0","0","-1","0","0","0","0","0","0","0","0","0"
"56","Tank Bigsby (JAC)","3","5","27","17","10","1","0","0","1","0","0","0","0","0","0","0","0"
"57","Jaylen Warren (PIT)","3","5","18","9","9","0","0","0","1","0","0","0","0","2","2","0","3"
"58","Carson Steele (KC)","3","9","33","15","18","0","1","-1","0","0","0","0","0","0","1","0","0"
"59","Khalil Herbert (CHI)","3","3","5","2","3","0","0","0","0","0","0","0","0","1","1","0","0"
"60","Emari Demercado (ARI)","3","1","18","4","14","1","0","0","0","0","0","0","0","1","1","0","1"
"61","Cordarrelle Patterson (PIT)","3","3","16","5","12","0","0","0","1","0","0","0","0","1","2","0","1"
"62","Roschon Johnson (CHI)","1","8","30","19","11","0","1","-1","0","0","0","0","0","4","5","0","6"
"63","D'Onta Foreman (CLE)","3","5","16","9","7","0","0","0","0","0","0","0","0","0","0","0","0"
"64","Dare Ogunbowale (HOU)","3","1","1","1","0","0","0","0","0","0","0","0","0","2","2","0","2"
"65","Samaje Perine (KC)","3","2","8","4","4","0","0","0","0","0","0","0","0","2","2","0","6"
"66","Jeff Wilson Jr. (MIA)","3","3","13","6","8","0","0","0","1","0","0","0","0","1","1","0","1"
"67","Tyrone Tracy Jr. (NYG)","3","3","9","5","4","0","0","0","0","0","0","0","0","1","2","0","0"
"68","Trey Benson (ARI)","3","5","10","5","5","0","1","-2","0","0","0","0","0","1","1","0","2"
"69","D'Ernest Johnson (JAC)","2","4","19","10","10","0","0","0","1","0","0","0","0","0","1","1","0"
"70","Pierre Strong Jr. (CLE)","2","2","3","1","2","0","1","-3","0","0","0","0","0","2","3","0","8"
"71","Deuce Vaughn (DAL)","3","2","7","3","4","0","0","0","0","0","0","0","0","1","1","0","1"
"72","Kenneth Gainwell (PHI)","3","1","3","1","1","0","0","0","0","0","0","0","0","1","1","0","3"
"73","Blake Corum (LAR)","2","4","14","8","6","0","1","-1","0","0","0","0","0","0","0","0","0"
"74","Ronnie Rivers (LAR)","3","1","8","6","2","0","0","0","0","0","0","0","0","0","0","0","0"
"75","Alec Ingold (MIA)","3","2","3","0","3","0","1","-1","0","0","0","0","0","1","1","0","1"
"76","Jaylen Wright (MIA)","2","4","11","5","6","0","2","-4","0","0","0","0","0","0","0","0","0"
"77","Isaac Guerendo (SF)","3","2","6","3","4","0","0","0","0","0","0","0","0","0","0","0","0"
"78","Raheem Mostert (MIA)","1","6","9","2","7","0","2","-4","0","0","0","0","0","2","3","0","5"
"79","MarShawn Lloyd (GB)","1","6","15","12","3","0","0","0","0","0","0","0","0","1","1","0","2"
"80","Travis Homer (CHI)","2","2","8","6","2","0","0","0","0","0","0","0","0","0","0","0","0"
"81","Dameon Pierce (HOU)","1","3","16","3","13","2","0","0","0","0","0","0","0","0","0","0","0"
"82","Ameer Abdullah (LV)","3","1","0","0","1","0","0","-1","0","0","0","0","0","1","1","0","2"
"83","Audric Estime (DEN)","1","2","14","13","1","0","0","0","1","0","0","0","0","0","0","0","0"
"84","Kenny McIntosh (SEA)","2","2","6","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"85","Hassan Haskins (LAC)","1","3","11","4","7","0","0","0","0","0","0","0","0","0","0","0","0"
"86","Jordan Mims (NO)","3","1","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"87","Mike Boone (CAR)","1","4","7","2","5","1","0","0","0","0","0","0","0","0","0","0","0"
"88","JaMycal Hasty (NE)","3","1","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"89","Isaiah Davis (NYJ)","1","3","6","0","6","0","1","-1","0","0","0","0","0","0","0","0","0"
"90","Sean Tucker (TB)","3","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"91","Chris Brooks (GB)","1","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"92","J.J. Taylor (HOU)","1","1","3","2","1","0","0","0","0","0","0","0","0","2","2","0","0"
"93","British Brooks (HOU)","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"94","Jeremy McNichols (WAS)","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","Myles Gaskin (MIN)","2","1","-2","0","0","0","1","-2","0","0","0","0","0","0","0","0","0"
"96","Eric Gray (NYG)","3","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
""
""